,district,year_x,visitors_x,year_y,visitors_y,CAGR,Visitors 2025,Projected Revenue Domestic,Projected Revenue Foreign
0,Adilabad,2019,775895,2016,5075557,-46.53046409530636,18131.821745301648,28.042694042830508,130.86590553320903
1,Bhadradri Kothagudem ,2019,12817737,2016,889030,143.3875243991837,2664411111.9637303,249442.8879572483,1164066.810467159
2,Hyderabad,2019,13802362,2016,23394705,-16.128975739591812,4804244.420194445,417.6888929759511,1949.2148338877716
3,Jagtial ,2019,3086115,2016,623077,70.46038372423757,75709935.45585838,29438.929705156825,137381.6719573985
4,Jangaon ,2019,328890,2016,40660,100.73715506340157,21518760.79330072,78514.13223862345,366399.2837802428
5,Jayashankar Bhoopalpally,2019,662530,2016,243400,39.62450875807555,4908801.800166582,8891.011969571036,41491.3891913315
6,Jogulamba Gadwal ,2019,2007995,2016,523401,56.54625874688981,29554171.22114397,17661.899290273515,82422.19668794307
7,Kamareddy ,2019,534,2016,127,61.40333794567417,9440.963729927458,21215.64883129766,99006.36121272242
8,Karimnagar ,2019,77491,2016,9167468,-79.62955009992503,5.536750974577189,0.085740294608311,0.4001213748387846
9,Khammam,2019,1413440,2016,5005031,-34.391989466989635,112724.5705010588,95.70231817499898,446.6108181499952
11,Mahabubabad ,2019,152885,2016,140002,2.9777849472204965,182316.57478280517,1431.0095152524198,6678.044404511292
12,Mahbubnagar,2019,2534815,2016,8304766,-32.67036045022478,236147.85508948704,111.79412545191047,521.7059187755823
13,Mancherial,2019,269810,2016,7802,225.79971394283592,322672708.0039519,1435110.817259339,6697183.813876916
14,Medak ,2019,5452570,2016,3463200,16.33432982468157,13516013.087999512,2974.600180391891,13881.467508495492
16,Nagarkurnool ,2019,2093312,2016,588473,52.65199127053981,26487977.93984984,15184.345920636679,70860.28096297117
17,Nalgonda,2019,140918,2016,5858461,-71.13348807658994,81.53279415366707,0.6942998977022131,3.2400661892769946
18,Nirmal,2019,3816778,2016,916610,60.88075773938375,66179200.90172023,20806.827403130148,97098.52788127403
19,Nizamabad,2019,46333,2016,6442,93.02929901463035,2396789.107612275,62075.560165211195,289685.94743765227
20,Peddapalli,2019,16581,2016,3244,72.25689895442872,433182.0645590037,31350.248927736833,146301.1616627719
21,Rajanna Sircilla ,2019,16832897,2016,2176801,97.74858257457022,1006558779.9295937,71756.54528840237,334863.8780125444
23,Sangareddy ,2019,4553160,2016,778000,80.20953731607486,155947903.8517365,41100.57292563489,191802.67365296284
24,Siddipet,2019,2987864,2016,358400,102.7671552477179,207656951.8657111,83400.1622024474,389200.7569447545
27,Wanaparthy ,2019,298639,2016,60138,70.60791702501731,7364471.851397233,29592.137067418116,138096.6396479512
28,Warangal (Rural),2019,353500,2016,19400,163.14546875673207,117372078.2628336,398434.2119247534,1859359.655648849
29,Warangal (Urban),2019,1795230,2016,25788035,-58.8628738295105,8700.090883245859,5.815471588540205,27.138867413187622
30,Yadadri Bhongir,2019,4489374,2016,1728600,37.45601828345997,30280869.655729294,8094.0112333869165,37772.052422472276
