,district,year,visitors
0,Adilabad,2016,5075557
1,Adilabad,2017,825380
2,Adilabad,2018,644743
3,Adilabad,2019,775895
4,Bhadradri Kothagudem ,2016,889030
5,Bhadradri Kothagudem ,2017,4094317
6,Bhadradri Kothagudem ,2018,3799878
7,Bhadradri Kothagudem ,2019,12817737
8,Hyderabad,2016,23394705
9,Hyderabad,2017,27160242
10,Hyderabad,2018,19543651
11,Hyderabad,2019,13802362
12,Jagtial ,2016,623077
13,Jagtial ,2017,3641401
14,Jagtial ,2018,3952921
15,Jagtial ,2019,3086115
16,Jangaon ,2016,40660
17,Jangaon ,2017,165708
18,Jangaon ,2018,291022
19,Jangaon ,2019,328890
20,Jayashankar Bhoopalpally,2016,243400
21,Jayashankar Bhoopalpally,2017,1831010
22,Jayashankar Bhoopalpally,2018,16895925
23,Jayashankar Bhoopalpally,2019,662530
24,Jogulamba Gadwal ,2016,523401
25,Jogulamba Gadwal ,2017,2245399
26,Jogulamba Gadwal ,2018,2036545
27,Jogulamba Gadwal ,2019,2007995
28,Kamareddy ,2016,127
29,Kamareddy ,2017,540
30,Kamareddy ,2018,572
31,Kamareddy ,2019,534
32,Karimnagar ,2016,9167468
33,Karimnagar ,2017,123976
34,Karimnagar ,2018,93448
35,Karimnagar ,2019,77491
36,Khammam,2016,5005031
37,Khammam,2017,1542403
38,Khammam,2018,1417441
39,Khammam,2019,1413440
40,Komaram Bheem Asifabad,2016,0
41,Komaram Bheem Asifabad,2017,50991
42,Komaram Bheem Asifabad,2018,22554
43,Komaram Bheem Asifabad,2019,19189
44,Mahabubabad ,2016,140002
45,Mahabubabad ,2017,141815
46,Mahabubabad ,2018,165995
47,Mahabubabad ,2019,152885
48,Mahbubnagar,2016,8304766
49,Mahbubnagar,2017,3488229
50,Mahbubnagar,2018,2852308
51,Mahbubnagar,2019,2534815
52,Mancherial,2016,7802
53,Mancherial,2017,191626
54,Mancherial,2018,398004
55,Mancherial,2019,269810
56,Medak ,2016,3463200
57,Medak ,2017,7726869
58,Medak ,2018,3900000
59,Medak ,2019,5452570
60,Medchal ,2016,0
61,Medchal ,2017,0
62,Medchal ,2018,0
63,Medchal ,2019,0
64,Mulugu,2019,1819800
65,Nagarkurnool ,2016,588473
66,Nagarkurnool ,2017,2653645
67,Nagarkurnool ,2018,2088925
68,Nagarkurnool ,2019,2093312
69,Nalgonda,2016,5858461
70,Nalgonda,2017,241916
71,Nalgonda,2018,160638
72,Nalgonda,2019,140918
73,Narayanapet,2019,389250
74,Nirmal,2016,916610
75,Nirmal,2017,4405083
76,Nirmal,2018,4177325
77,Nirmal,2019,3816778
78,Nizamabad,2016,6442
79,Nizamabad,2017,21949
80,Nizamabad,2018,41423
81,Nizamabad,2019,46333
82,Peddapalli,2016,3244
83,Peddapalli,2017,14898
84,Peddapalli,2018,22254
85,Peddapalli,2019,16581
86,Rajanna Sircilla ,2016,2176801
87,Rajanna Sircilla ,2017,11919347
88,Rajanna Sircilla ,2018,10834231
89,Rajanna Sircilla ,2019,16832897
90,Ranga Reddy,2016,0
91,Ranga Reddy,2017,0
92,Ranga Reddy,2018,0
93,Ranga Reddy,2019,0
94,Sangareddy ,2016,778000
95,Sangareddy ,2017,2823450
96,Sangareddy ,2018,2269900
97,Sangareddy ,2019,4553160
98,Siddipet,2016,358400
99,Siddipet,2017,1145721
100,Siddipet,2018,1283300
101,Siddipet,2019,2987864
102,Suryapet,2016,0
103,Suryapet,2017,0
104,Suryapet,2018,0
105,Suryapet,2019,0
106,Vikarabad,2016,0
107,Vikarabad,2017,0
108,Vikarabad,2018,0
109,Vikarabad,2019,0
110,Wanaparthy ,2016,60138
111,Wanaparthy ,2017,244701
112,Wanaparthy ,2018,286600
113,Wanaparthy ,2019,298639
114,Warangal (Rural),2016,19400
115,Warangal (Rural),2017,144250
116,Warangal (Rural),2018,302012
117,Warangal (Rural),2019,353500
118,Warangal (Urban),2016,25788035
119,Warangal (Urban),2017,1420002
120,Warangal (Urban),2018,1723336
121,Warangal (Urban),2019,1795230
122,Yadadri Bhongir,2016,1728600
123,Yadadri Bhongir,2017,7001728
124,Yadadri Bhongir,2018,13673378
125,Yadadri Bhongir,2019,4489374
